cnpj,razao_social,nome_fantasia,uf,municipio,cep,data_abertura,situacao
04206050007940,,,,,,,
72629140000134,,,,,,,
22171083000114,,,,,,,
09550214000106,,,,,,,
33469172002292,,,,,,,
03346671000954,,,,,,,
04356635000187,,,,,,,
38755138000173,,,,,,,
27151719000180,,,,,,,
25306697000154,,,,,,,
03344655000175,,,,,,,
16670085055308,,,,,,,
12842700000102,,,,,,,
15695357000109,,,,,,,
04276357000158,,,,,,,
00521294000105,,,,,,,
38069159000135,,,,,,,
35029156000180,,,,,,,
25298969000111,,,,,,,
16913599000194,,,,,,,
37990298000134,,,,,,,
00031708000371,,,,,,,
07424109000103,,,,,,,
12623662000105,,,,,,,
16624611009873,,,,,,,
19350180004157,,,,,,,
23452196000150,,,,,,,
64236631000197,,,,,,,
20740779000199,,,,,,,
17257916000124,,,,,,,
00062595000100,,,,,,,
32856825000107,,,,,,,
13128780000100,,,,,,,
32864795001063,,,,,,,
28039729000190,,,,,,,
38006706000133,,,,,,,
08489457000113,,,,,,,
12009209000103,,,,,,,
71502116000177,,,,,,,
05587791000111,,,,,,,
03245897000101,,,,,,,
01138114000165,,,,,,,
09489996000204,,,,,,,
18461038000127,,,,,,,
09617350000176,,,,,,,
18605436000170,,,,,,,
18094698000117,,,,,,,
01582003000143,,,,,,,
05622539000104,,,,,,,
17176595000214,,,,,,,
26991067000129,,,,,,,
21304951000124,,,,,,,
00194032000175,,,,,,,
01875781000120,,,,,,,
23749013000163,,,,,,,
08884038000186,,,,,,,
25884511000144,,,,,,,
08414749000197,,,,,,,
01743808000121,,,,,,,
14456196000138,,,,,,,
20496517000201,,,,,,,
18787495000106,,,,,,,
42978668000158,,,,,,,
02320898000100,,,,,,,
19595319000135,,,,,,,
24720659000180,,,,,,,
11076267000189,,,,,,,
19406949000114,,,,,,,
01530043000141,,,,,,,
20173683000196,,,,,,,
17176869000194,,,,,,,
07876896000116,,,,,,,
17233495000100,,,,,,,
03665115000193,,,,,,,
16525065000190,,,,,,,
24580329000137,,,,,,,
19848233000258,,,,,,,
17280959000120,,,,,,,
01553201000189,,,,,,,
08160834000176,,,,,,,
17759721000182,,,,,,,
86374618000137,,,,,,,
42981407000197,,,,,,,
13569064001989,,,,,,,
13569064001636,,,,,,,
13569064001040,,,,,,,
13141081000191,,,,,,,
23090628000120,,,,,,,
05333717000179,,,,,,,
25296138000372,,,,,,,
00911117000127,,,,,,,
